date,time,road,volume
7,20,3510000500-3510000400,1691
7,21,3510000500-3510000400,1508
7,22,3510000500-3510000400,1221
7,20,3510000400-3510000500,1730
7,21,3510000400-3510000500,1498
7,22,3510000400-3510000500,1472
7,20,3510000450-3510000400,1782
7,21,3510000450-3510000400,1540
7,22,3510000450-3510000400,1613
7,20,3510000400-3510000450,1704
7,21,3510000400-3510000450,1489
7,22,3510000400-3510000450,1222
8,20,3500007900-3500007500,1428
8,21,3500007900-3500007500,1362
8,22,3500007900-3500007500,1014
8,20,3500007500-3500007900,1098
8,21,3500007500-3500007900,1054
8,22,3500007500-3500007900,695
8,20,3500006700-3500007500,907
8,21,3500006700-3500007500,931
8,22,3500006700-3500007500,605
8,20,3500007500-3500006700,1194
8,21,3500007500-3500006700,1198
8,22,3500007500-3500006700,835
8,20,3500059000-3500007500,833
8,21,3500059000-3500007500,803
8,22,3500059000-3500007500,402
8,20,3500007500-3500059000,1284
8,21,3500007500-3500059000,1304
8,22,3500007500-3500059000,750
8,20,3510000500-3510000400,1950
8,21,3510000500-3510000400,1823
8,22,3510000500-3510000400,1271
8,20,3510000400-3510000500,2315
8,21,3510000400-3510000500,2155
8,22,3510000400-3510000500,1508
8,20,3510000450-3510000400,2280
8,21,3510000450-3510000400,2161
8,22,3510000450-3510000400,1637
8,20,3510000400-3510000450,1945
8,21,3510000400-3510000450,1800
8,22,3510000400-3510000450,1255
9,20,3500007900-3500007500,1321
9,21,3500007900-3500007500,1408
9,22,3500007900-3500007500,1057
9,20,3500007500-3500007900,1040
9,21,3500007500-3500007900,1085
9,22,3500007500-3500007900,753
9,20,3500006700-3500007500,927
9,21,3500006700-3500007500,1002
9,22,3500006700-3500007500,662
9,20,3500007500-3500006700,1169
9,21,3500007500-3500006700,1219
9,22,3500007500-3500006700,882
9,20,3500059000-3500007500,792
9,21,3500059000-3500007500,852
9,22,3500059000-3500007500,488
9,20,3500007500-3500059000,1133
9,21,3500007500-3500059000,1376
