date,time,road,speed
4,17,3500081900-3500007700,48
4,18,3500081900-3500007700,48
4,19,3500081900-3500007700,44
5,17,3500081900-3500007700,51
5,18,3500081900-3500007700,48
5,19,3500081900-3500007700,45
6,17,3500081900-3500007700,48
6,18,3500081900-3500007700,47
6,19,3500081900-3500007700,46
7,17,3500081900-3500007700,47
7,18,3500081900-3500007700,47
7,19,3500081900-3500007700,45
8,17,3500081900-3500007700,48
8,18,3500081900-3500007700,48
8,19,3500081900-3500007700,46
9,17,3500081900-3500007700,48
9,18,3500081900-3500007700,48
9,19,3500081900-3500007700,46
10,17,3500081900-3500007700,48
10,18,3500081900-3500007700,44
10,19,3500081900-3500007700,45
11,17,3500081900-3500007700,49
11,18,3500081900-3500007700,49
11,19,3500081900-3500007700,48
12,17,3500081900-3500007700,48
12,18,3500081900-3500007700,48
12,19,3500081900-3500007700,48
13,17,3500081900-3500007700,48
13,18,3500081900-3500007700,48
13,19,3500081900-3500007700,47
14,17,3500081900-3500007700,47
14,18,3500081900-3500007700,47
14,19,3500081900-3500007700,47
15,17,3500081900-3500007700,47
15,18,3500081900-3500007700,47
15,19,3500081900-3500007700,46
16,17,3500081900-3500007700,48
16,18,3500081900-3500007700,48
16,19,3500081900-3500007700,47
17,17,3500081900-3500007700,48
17,18,3500081900-3500007700,48
17,19,3500081900-3500007700,48
18,17,3500081900-3500007700,48
18,18,3500081900-3500007700,48
18,19,3500081900-3500007700,45
19,17,3500081900-3500007700,48
19,18,3500081900-3500007700,48
19,19,3500081900-3500007700,46
20,17,3500081900-3500007700,48
20,18,3500081900-3500007700,46
20,19,3500081900-3500007700,48
21,17,3500081900-3500007700,47
21,18,3500081900-3500007700,46
21,19,3500081900-3500007700,47
22,17,3500081900-3500007700,48
22,18,3500081900-3500007700,48
22,19,3500081900-3500007700,45
23,17,3500081900-3500007700,48
23,18,3500081900-3500007700,48
23,19,3500081900-3500007700,48
25,17,3500081900-3500007700,48
25,18,3500081900-3500007700,48
25,19,3500081900-3500007700,46
26,17,3500081900-3500007700,48
26,18,3500081900-3500007700,48
26,19,3500081900-3500007700,46
27,17,3500081900-3500007700,48
27,18,3500081900-3500007700,47
27,19,3500081900-3500007700,46
28,17,3500081900-3500007700,47
28,18,3500081900-3500007700,45
28,19,3500081900-3500007700,46
29,17,3500081900-3500007700,48
29,18,3500081900-3500007700,48
29,19,3500081900-3500007700,47
30,17,3500081900-3500007700,49
30,18,3500081900-3500007700,49
30,19,3500081900-3500007700,47
1,17,3500006300-3500006301,22
1,18,3500006300-3500006301,23
1,19,3500006300-3500006301,23
3,17,3500006300-3500006301,18
3,18,3500006300-3500006301,20
3,19,3500006300-3500006301,22
4,17,3500006300-3500006301,23
4,18,3500006300-3500006301,20
4,19,3500006300-3500006301,22
5,17,3500006300-3500006301,28
5,18,3500006300-3500006301,29
5,19,3500006300-3500006301,25
6,17,3500006300-3500006301,22
6,18,3500006300-3500006301,14
6,19,3500006300-3500006301,18
7,17,3500006300-3500006301,19
7,18,3500006300-3500006301,19
7,19,3500006300-3500006301,19
8,17,3500006300-3500006301,26
8,18,3500006300-3500006301,26
8,19,3500006300-3500006301,25
9,17,3500006300-3500006301,35
9,18,3500006300-3500006301,24
9,19,3500006300-3500006301,25
10,17,3500006300-3500006301,23
10,18,3500006300-3500006301,20
10,19,3500006300-3500006301,23
11,17,3500006300-3500006301,24
11,18,3500006300-3500006301,25
11,19,3500006300-3500006301,28
12,17,3500006300-3500006301,20
12,18,3500006300-3500006301,23
12,19,3500006300-3500006301,20
13,17,3500006300-3500006301,21
13,18,3500006300-3500006301,21
13,19,3500006300-3500006301,22
14,17,3500006300-3500006301,22
14,18,3500006300-3500006301,19
14,19,3500006300-3500006301,22
15,17,3500006300-3500006301,31
15,18,3500006300-3500006301,29
15,19,3500006300-3500006301,29
16,17,3500006300-3500006301,26
16,18,3500006300-3500006301,22
16,19,3500006300-3500006301,23
17,17,3500006300-3500006301,29
17,18,3500006300-3500006301,29
17,19,3500006300-3500006301,30
18,17,3500006300-3500006301,14
18,18,3500006300-3500006301,18
18,19,3500006300-3500006301,21
19,17,3500006300-3500006301,25
19,18,3500006300-3500006301,25
19,19,3500006300-3500006301,25
20,17,3500006300-3500006301,29
20,18,3500006300-3500006301,29
20,19,3500006300-3500006301,29
21,17,3500006300-3500006301,28
21,18,3500006300-3500006301,29
21,19,3500006300-3500006301,28
