road,segment,id,ratio
희망대로,대잠사거리 > 한전사거리,3500007500-3500007400;3500007400-3500007100,1;1
희망대로,한전사거리 > 대잠사거리,3500007100-3500007400;3500007400-3500007500,0.95;1
희망대로,섬안사거리 > 한전사거리,3500006900-3500007100,1
희망대로,한전사거리 > 섬안사거리,3500007100-3500006900,1
희망대로,시외버스터미널 > 한전사거리,3500058900-3500007100,1
희망대로,한전사거리 > 시외버스터미널,3500007100-3500058900,1
