road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
새천년대로,2023,4,2,사격장 > 우현사거리,373,220,155,111,184,437,1078,1492,1972,1808,1691,1762,1724,1846,1880,2056,2137,2305,2117,1878,1554,1616,1319,698
새천년대로,2023,4,2,우현사거리 > 사격장,223,112,83,82,108,420,1388,2009,2066,1724,1547,1503,1399,1556,1582,1666,1710,1624,1654,1004,954,881,611,344
새천년대로,2023,4,2,영신고 > 우현사거리,42,19,13,8,19,84,448,664,907,714,589,596,617,712,700,723,886,994,857,391,344,255,132,76
새천년대로,2023,4,2,우현사거리 > 영신고,193,111,86,82,151,335,1060,1564,1629,1328,1208,1242,1170,1305,1299,1372,1385,1502,1412,1088,772,849,661,282
새천년대로,2023,4,2,우현사거리 > 포항고등학교,292,183,117,77,111,242,559,906,1664,1387,1301,1396,1424,1520,1584,1683,1860,2015,2074,1572,1345,1324,978,476
새천년대로,2023,4,2,포항고등학교 > 우현사거리,239,117,86,84,119,393,1220,1886,1388,1424,1307,1246,1111,1282,1278,1338,1300,1130,1166,915,854,821,610,336
새천년대로,2023,4,2,장성초등학교 > 창포사거리,255,162,112,63,84,229,500,800,1537,1181,1201,1207,1348,1311,1424,1468,1697,1706,1737,1324,1125,1129,819,474
새천년대로,2023,4,2,창포사거리 > 장성초등학교,206,107,75,67,135,446,1026,1510,1574,1352,1258,1115,1107,1172,1219,1311,1334,1289,1254,945,851,744,585,304
새천년대로,2023,4,2,포항온천 > 두산위브,136,71,41,44,78,279,571,825,1216,1094,934,890,875,946,978,1046,1096,1302,1257,848,644,592,368,212
새천년대로,2023,4,2,두산위브 > 포항온천,128,68,61,45,82,126,347,577,857,759,661,663,665,690,713,763,836,910,852,675,505,484,349,190
새천년대로,2023,4,2,장성초등학교 > 두산위브,234,124,105,58,117,289,663,1041,1698,1352,1243,1192,1257,1224,1295,1352,1453,1386,1383,1138,969,904,679,402
새천년대로,2023,4,2,두산위브 > 장성초등학교,180,117,66,63,86,274,613,1011,1485,1243,1171,1097,1124,1237,1350,1410,1520,1566,1521,1086,996,850,603,302
새천년대로,2023,4,3,MBC > 대잠사거리,219,106,70,44,71,86,246,732,1268,977,886,900,876,950,1032,1084,1044,1240,1151,861,777,682,501,0
새천년대로,2023,4,3,대잠사거리 > MBC,158,69,47,45,56,109,485,957,1050,869,838,874,934,925,912,924,1001,1026,1034,585,508,470,288,0
새천년대로,2023,4,3,효자사거리 > 대잠사거리,150,64,39,39,48,104,421,934,1100,732,722,759,818,801,772,801,846,851,897,532,456,422,275,0
새천년대로,2023,4,3,대잠사거리 > 효자사거리,191,97,75,43,65,82,229,682,1082,833,766,819,811,832,872,919,948,1123,1130,788,711,582,444,0
새천년대로,2023,4,3,포항시청 > 대잠사거리,36,16,10,9,23,30,810,960,1075,795,591,675,565,616,558,592,620,762,784,309,253,257,128,0
새천년대로,2023,4,3,대잠사거리 > 포항시청,94,47,49,34,63,97,353,626,788,708,675,746,734,745,751,839,861,1240,1247,638,394,400,235,0
새천년대로,2023,4,3,용흥고가 > 양학사거리,200,93,37,24,57,271,1556,2317,2592,1911,1787,1704,1605,1871,1769,1604,1705,1847,1726,873,805,815,559,0
새천년대로,2023,4,3,양학사거리 > 용흥고가,384,275,168,142,161,256,558,1120,1684,1556,1595,1657,1702,1560,1570,1815,1878,2110,1967,1418,1207,1111,798,0
새천년대로,2023,4,3,이동고가차도 아래 > 양학사거리,438,303,189,154,164,287,556,1099,1548,1509,1550,1715,1736,1643,1670,1861,1929,2150,2031,1592,1330,1232,858,0
새천년대로,2023,4,3,양학사거리 > 이동고가차도 아래,229,102,50,36,84,336,1584,2353,2608,1932,1796,1661,1610,1865,1766,1557,1685,1827,1714,911,832,851,587,0
새천년대로,2023,4,3,사격장 > 용흥육교,232,102,64,31,107,240,1251,1782,2084,1667,1417,1296,1145,1410,1357,1271,1276,1358,1152,645,642,750,498,0
새천년대로,2023,4,3,용흥육교 > 사격장,260,154,95,82,97,214,534,912,1225,1229,1323,1337,1321,1284,1289,1535,1489,1583,1430,1210,1050,883,602,0
새천년대로,2023,4,3,사격장 > 우현사거리,361,256,161,119,191,333,740,1358,1852,1649,1668,1748,1761,1713,1725,1996,2131,2203,2175,1690,1357,1357,914,0
새천년대로,2023,4,3,우현사거리 > 사격장,245,131,73,78,120,318,1187,2032,2077,1772,1587,1516,1437,1566,1524,1500,1603,1633,1513,869,811,868,543,0
새천년대로,2023,4,3,영신고 > 우현사거리,60,57,27,30,41,124,563,1154,1840,1304,1067,1127,1079,1073,1094,1058,1324,1517,1303,495,402,392,242,0
새천년대로,2023,4,3,우현사거리 > 영신고,159,112,74,62,102,151,604,1348,1439,1099,1177,1188,1177,1124,1180,1302,1438,1370,1152,558,519,609,446,0
새천년대로,2023,4,3,우현사거리 > 포항고등학교,220,145,83,61,79,149,392,807,1541,1274,1215,1285,1363,1358,1416,1614,1797,1946,1970,1150,987,1024,703,0
새천년대로,2023,4,3,포항고등학교 > 우현사거리,257,131,83,83,129,281,943,1785,1336,1321,1205,1178,1140,1249,1201,1229,1208,1110,1115,696,701,765,511,0
새천년대로,2023,4,3,장성초등학교 > 창포사거리,284,158,111,76,81,192,378,775,1459,1105,1175,1233,1267,1222,1355,1474,1634,1672,1753,1289,1027,987,627,0
새천년대로,2023,4,3,창포사거리 > 장성초등학교,213,98,77,66,144,351,843,1439,1555,1359,1236,1147,1143,1227,1234,1177,1256,1187,1231,821,799,763,488,0
새천년대로,2023,4,3,포항온천 > 두산위브,138,76,64,44,72,86,365,744,1212,996,853,853,795,872,852,916,977,1141,588,332,352,511,355,0
새천년대로,2023,4,3,두산위브 > 포항온천,122,76,68,35,76,84,243,537,817,674,598,632,659,639,722,728,783,842,882,612,443,471,287,0
새천년대로,2023,4,3,장성초등학교 > 두산위브,271,126,103,67,123,207,489,903,1632,1264,1096,1179,1241,1176,1305,1242,1369,1250,1352,1007,885,885,551,0
새천년대로,2023,4,3,두산위브 > 장성초등학교,194,104,80,47,93,151,475,927,1152,951,1003,1023,1093,1068,1076,1184,1315,1343,991,693,790,774,515,0
새천년대로,2023,4,4,MBC > 대잠사거리,162,103,59,64,88,161,335,809,1377,1096,1019,1006,1027,1129,1208,1141,1318,1432,1442,1057,1027,918,637,362
새천년대로,2023,4,4,대잠사거리 > MBC,116,81,46,48,74,180,580,1050,1138,985,1000,1031,1034,1029,1061,1042,1158,1122,1096,740,587,548,367,196
새천년대로,2023,4,4,효자사거리 > 대잠사거리,104,61,34,41,72,167,526,1009,1156,840,823,896,908,895,938,932,1014,989,956,650,523,468,348,182
새천년대로,2023,4,4,대잠사거리 > 효자사거리,162,109,60,64,86,146,332,733,1157,906,949,887,893,965,1054,941,1113,1241,1261,891,851,731,527,286
새천년대로,2023,4,4,포항시청 > 대잠사거리,56,40,25,19,20,267,1215,1019,1102,820,737,694,611,714,682,723,746,857,866,497,336,295,200,110
새천년대로,2023,4,4,대잠사거리 > 포항시청,101,71,50,34,61,137,453,696,799,735,808,859,804,782,860,789,952,1234,1288,770,558,453,297,202
새천년대로,2023,4,4,용흥고가 > 양학사거리,191,119,82,92,139,580,1783,2420,2756,2037,1723,1726,1655,1881,1823,1807,1886,2018,1887,1238,1034,976,760,384
새천년대로,2023,4,4,양학사거리 > 용흥고가,272,258,185,144,168,326,721,1196,1754,1635,1688,1727,1713,1718,1902,1943,2079,2357,2220,1574,1462,1337,941,543
새천년대로,2023,4,4,이동고가차도 아래 > 양학사거리,310,284,215,159,162,318,687,1109,1569,1537,1653,1687,1693,1694,1874,1955,2065,2307,2199,1724,1589,1461,1049,613
새천년대로,2023,4,4,양학사거리 > 이동고가차도 아래,209,131,84,103,164,644,1811,2499,2780,2067,1737,1757,1667,1883,1860,1806,1927,2049,1872,1259,1046,1012,773,399
새천년대로,2023,4,4,사격장 > 용흥육교,174,99,69,80,117,446,1409,1876,2171,1712,1325,1319,1209,1388,1391,1447,1489,1603,1407,890,797,797,599,341
새천년대로,2023,4,4,용흥육교 > 사격장,176,124,102,73,104,248,706,1093,1503,1315,1446,1441,1414,1468,1676,1637,1929,1963,1730,1266,1112,1030,721,386
새천년대로,2023,4,4,사격장 > 우현사거리,276,227,158,122,182,399,961,1468,1979,1702,1642,1717,1725,1743,1882,2111,2237,2257,2261,1943,1599,1603,1114,674
새천년대로,2023,4,4,우현사거리 > 사격장,197,117,76,101,126,410,1285,2154,2108,1838,1524,1531,1508,1681,1579,1725,1796,1777,1566,922,890,893,647,379
새천년대로,2023,4,4,영신고 > 우현사거리,4,6,3,3,3,64,359,652,708,567,474,434,404,534,472,547,595,685,489,166,108,85,34,24
새천년대로,2023,4,4,우현사거리 > 영신고,138,101,65,89,128,310,935,1467,1540,1300,1212,1298,1151,1246,1305,1468,1453,1527,1471,1042,838,819,563,316
새천년대로,2023,4,4,우현사거리 > 포항고등학교,228,186,122,76,112,231,498,846,1618,1182,1257,1340,1430,1426,1507,1691,2027,2058,2119,1622,1361,1323,885,552
새천년대로,2023,4,4,포항고등학교 > 우현사거리,208,119,78,101,138,393,1094,1883,1404,1449,1221,1236,1229,1301,1250,1304,1386,1262,1204,843,815,859,656,364
새천년대로,2023,4,4,장성초등학교 > 창포사거리,215,145,112,69,108,213,459,814,1498,1071,1239,1202,1294,1247,1389,1501,1810,1754,1853,1348,1136,1095,760,476
새천년대로,2023,4,4,창포사거리 > 장성초등학교,175,108,73,100,128,442,950,1552,1627,1418,1208,1210,1122,1260,1219,1254,1363,1312,1256,951,799,779,624,356
새천년대로,2023,4,4,포항온천 > 두산위브,106,63,53,59,73,277,552,844,1292,1050,884,899,869,987,969,1071,1087,1401,1144,851,667,549,388,229
새천년대로,2023,4,4,두산위브 > 포항온천,98,74,54,41,83,103,287,580,856,727,622,677,644,680,702,821,874,917,934,724,491,492,353,170
새천년대로,2023,4,4,장성초등학교 > 두산위브,208,117,79,69,134,262,622,1015,1663,1258,1167,1175,1225,1196,1233,1370,1462,1342,1428,1154,966,897,687,367
새천년대로,2023,4,4,두산위브 > 장성초등학교,165,108,67,71,79,271,559,1097,1467,1243,1076,1143,1139,1246,1286,1358,1519,1611,1547,1016,987,797,632,339
새천년대로,2023,4,5,MBC > 대잠사거리,249,149,86,54,103,166,371,796,1378,1135,1006,1061,1028,1166,1259,1288,1350,1401,1398,1173,1090,989,835,520
새천년대로,2023,4,5,대잠사거리 > MBC,148,100,66,55,68,175,563,1010,1072,916,1005,1013,1039,969,1016,1110,1114,1074,945,843,731,617,444,244
새천년대로,2023,4,5,효자사거리 > 대잠사거리,139,96,65,50,66,173,517,962,1100,806,825,897,916,872,910,944,955,971,828,775,645,535,409,222
새천년대로,2023,4,5,대잠사거리 > 효자사거리,221,137,87,53,95,135,369,734,1138,947,867,915,922,980,1046,1093,1169,1270,1275,999,866,795,689,439
새천년대로,2023,4,5,포항시청 > 대잠사거리,52,30,22,23,31,260,1193,983,1039,678,688,637,589,638,639,716,748,905,840,510,396,331,202,145
새천년대로,2023,4,5,대잠사거리 > 포항시청,107,70,53,30,80,141,456,655,767,790,780,848,768,776,751,805,808,1035,1246,802,501,464,336,166
새천년대로,2023,4,5,용흥고가 > 양학사거리,255,145,102,88,188,579,1721,2320,2652,1951,1845,1853,1721,1885,1912,1945,1966,2060,1980,1451,1269,1090,825,452
새천년대로,2023,4,5,양학사거리 > 용흥고가,389,280,181,134,222,338,704,1241,1710,1705,1697,1808,1785,1819,1888,1998,2134,2283,2281,1769,1485,1428,1135,727
새천년대로,2023,4,5,이동고가차도 아래 > 양학사거리,437,308,194,145,221,354,697,1167,1527,1632,1625,1754,1793,1823,1874,2036,2132,2276,2279,1907,1583,1526,1248,809
새천년대로,2023,4,5,양학사거리 > 이동고가차도 아래,273,154,107,102,213,632,1758,2389,2699,2025,1865,1843,1735,1872,1881,1881,1976,2074,1960,1486,1305,1107,840,485
새천년대로,2023,4,5,사격장 > 용흥육교,212,98,70,79,170,490,1345,1827,2099,1678,1471,1406,1251,1436,1435,1574,1458,1502,1447,1134,966,895,643,366
새천년대로,2023,4,5,용흥육교 > 사격장,210,134,92,72,124,252,732,1020,1236,1270,1201,1112,1186,1436,1458,1548,1612,1629,1578,1303,1143,1123,847,502
새천년대로,2023,4,5,사격장 > 우현사거리,373,262,171,126,208,433,1022,1474,1961,1802,1789,1803,1908,1928,1939,2116,2218,2245,2272,2039,1695,1626,1249,802
새천년대로,2023,4,5,우현사거리 > 사격장,250,104,76,89,148,408,1250,2066,2000,1817,1665,1580,1475,1661,1589,1700,1702,1711,1661,1120,1011,954,661,435
새천년대로,2023,4,5,영신고 > 우현사거리,45,11,9,2,14,76,378,701,902,793,614,642,639,685,636,802,880,946,804,454,337,263,153,151
새천년대로,2023,4,5,우현사거리 > 영신고,181,147,85,92,173,326,960,1494,1532,1371,1287,1222,1242,1277,1272,1412,1487,1596,1524,1179,957,872,703,432
새천년대로,2023,4,5,우현사거리 > 포항고등학교,315,183,128,86,121,253,535,815,1575,1319,1289,1323,1443,1480,1502,1608,1794,1961,2146,1786,1431,1396,967,656
새천년대로,2023,4,5,포항고등학교 > 우현사거리,249,118,88,98,162,368,1073,1835,1376,1508,1329,1284,1146,1277,1231,1205,1223,1185,1233,998,961,934,666,437
새천년대로,2023,4,5,장성초등학교 > 창포사거리,269,167,109,83,100,243,490,792,1475,1169,1248,1242,1384,1316,1474,1583,1735,1717,1929,1449,1186,1112,817,518
새천년대로,2023,4,5,창포사거리 > 장성초등학교,211,118,60,79,165,414,913,1489,1562,1402,1259,1224,1188,1283,1300,1264,1404,1318,1308,1018,941,845,640,397
새천년대로,2023,4,5,포항온천 > 두산위브,138,78,50,46,103,287,552,810,1290,1067,976,971,967,947,973,1063,1176,1394,1278,960,738,666,404,245
