date,time,road,speed
4,20,3500081900-3500007700,46
4,21,3500081900-3500007700,44
4,22,3500081900-3500007700,44
5,20,3500081900-3500007700,43
5,21,3500081900-3500007700,49
5,22,3500081900-3500007700,48
6,20,3500081900-3500007700,49
6,21,3500081900-3500007700,51
6,22,3500081900-3500007700,46
7,20,3500081900-3500007700,44
7,21,3500081900-3500007700,45
7,22,3500081900-3500007700,44
8,20,3500081900-3500007700,45
8,21,3500081900-3500007700,47
8,22,3500081900-3500007700,44
9,20,3500081900-3500007700,47
9,21,3500081900-3500007700,46
9,22,3500081900-3500007700,44
10,20,3500081900-3500007700,48
10,21,3500081900-3500007700,47
10,22,3500081900-3500007700,45
11,20,3500081900-3500007700,44
11,21,3500081900-3500007700,48
11,22,3500081900-3500007700,46
12,20,3500081900-3500007700,48
12,21,3500081900-3500007700,46
12,22,3500081900-3500007700,45
13,20,3500081900-3500007700,47
13,21,3500081900-3500007700,45
13,22,3500081900-3500007700,43
14,20,3500081900-3500007700,46
14,21,3500081900-3500007700,46
14,22,3500081900-3500007700,43
15,20,3500081900-3500007700,44
15,21,3500081900-3500007700,45
15,22,3500081900-3500007700,45
16,20,3500081900-3500007700,48
16,21,3500081900-3500007700,47
16,22,3500081900-3500007700,45
17,20,3500081900-3500007700,47
17,21,3500081900-3500007700,47
17,22,3500081900-3500007700,45
18,20,3500081900-3500007700,49
18,21,3500081900-3500007700,51
18,22,3500081900-3500007700,44
19,20,3500081900-3500007700,46
19,21,3500081900-3500007700,48
19,22,3500081900-3500007700,45
20,20,3500081900-3500007700,46
20,21,3500081900-3500007700,53
20,22,3500081900-3500007700,44
21,20,3500081900-3500007700,42
21,21,3500081900-3500007700,46
21,22,3500081900-3500007700,44
22,20,3500081900-3500007700,48
22,21,3500081900-3500007700,48
22,22,3500081900-3500007700,43
23,20,3500081900-3500007700,46
23,21,3500081900-3500007700,49
23,22,3500081900-3500007700,49
25,20,3500081900-3500007700,47
25,21,3500081900-3500007700,46
25,22,3500081900-3500007700,46
26,20,3500081900-3500007700,46
26,21,3500081900-3500007700,47
26,22,3500081900-3500007700,46
27,20,3500081900-3500007700,46
27,21,3500081900-3500007700,46
27,22,3500081900-3500007700,46
28,20,3500081900-3500007700,44
28,21,3500081900-3500007700,47
28,22,3500081900-3500007700,44
29,20,3500081900-3500007700,48
29,21,3500081900-3500007700,46
29,22,3500081900-3500007700,45
30,20,3500081900-3500007700,47
30,21,3500081900-3500007700,53
30,22,3500081900-3500007700,47
1,20,3500006300-3500006301,24
1,21,3500006300-3500006301,23
1,22,3500006300-3500006301,24
3,20,3500006300-3500006301,26
3,21,3500006300-3500006301,27
3,22,3500006300-3500006301,29
4,20,3500006300-3500006301,25
4,21,3500006300-3500006301,25
4,22,3500006300-3500006301,25
5,20,3500006300-3500006301,23
