date,time,road,volume
1,5,3500007100-3500058900,114
1,6,3500007100-3500058900,313
1,7,3500007100-3500058900,457
1,8,3500007100-3500058900,966
1,9,3500007100-3500058900,905
1,10,3500007100-3500058900,858
1,11,3500007100-3500058900,839
1,12,3500007100-3500058900,761
1,13,3500007100-3500058900,782
1,14,3500007100-3500058900,835
1,15,3500007100-3500058900,791
1,16,3500007100-3500058900,876
1,17,3500007100-3500058900,939
1,18,3500007100-3500058900,866
1,19,3500007100-3500058900,583
1,20,3500007100-3500058900,450
1,21,3500007100-3500058900,377
1,22,3500007100-3500058900,278
1,23,3500007100-3500058900,176
2,0,3500007500-3500007400,69
2,1,3500007500-3500007400,57
2,2,3500007500-3500007400,41
2,3,3500007500-3500007400,47
2,4,3500007500-3500007400,72
2,5,3500007500-3500007400,475
2,6,3500007500-3500007400,1358
2,7,3500007500-3500007400,1301
2,8,3500007500-3500007400,1374
2,9,3500007500-3500007400,1026
2,10,3500007500-3500007400,884
2,11,3500007500-3500007400,956
2,12,3500007500-3500007400,890
2,13,3500007500-3500007400,860
2,14,3500007500-3500007400,795
2,15,3500007500-3500007400,849
2,16,3500007500-3500007400,890
2,17,3500007500-3500007400,1054
2,18,3500007500-3500007400,1166
2,19,3500007500-3500007400,584
2,20,3500007500-3500007400,488
2,21,3500007500-3500007400,440
2,22,3500007500-3500007400,353
2,23,3500007500-3500007400,163
2,0,3500007400-3500007100,69
2,1,3500007400-3500007100,57
2,2,3500007400-3500007100,41
2,3,3500007400-3500007100,47
2,4,3500007400-3500007100,72
2,5,3500007400-3500007100,475
2,6,3500007400-3500007100,1358
2,7,3500007400-3500007100,1301
2,8,3500007400-3500007100,1374
2,9,3500007400-3500007100,1026
2,10,3500007400-3500007100,884
2,11,3500007400-3500007100,956
2,12,3500007400-3500007100,890
2,13,3500007400-3500007100,860
2,14,3500007400-3500007100,795
2,15,3500007400-3500007100,849
2,16,3500007400-3500007100,890
2,17,3500007400-3500007100,1054
2,18,3500007400-3500007100,1166
2,19,3500007400-3500007100,584
2,20,3500007400-3500007100,488
2,21,3500007400-3500007100,440
2,22,3500007400-3500007100,353
2,23,3500007400-3500007100,163
2,0,3500007100-3500007400,90
2,1,3500007100-3500007400,67
2,2,3500007100-3500007400,42
2,3,3500007100-3500007400,51
2,4,3500007100-3500007400,68
2,5,3500007100-3500007400,113
