date,time,road,volume
1,17,3500007900-3500007500,1337
1,18,3500007900-3500007500,1365
1,19,3500007900-3500007500,1070
1,17,3500007500-3500007900,1066
1,18,3500007500-3500007900,1055
1,19,3500007500-3500007900,780
1,17,3500006700-3500007500,892
1,18,3500006700-3500007500,959
1,19,3500006700-3500007500,730
1,17,3500007500-3500006700,1160
1,18,3500007500-3500006700,1143
1,19,3500007500-3500006700,892
1,17,3500059000-3500007500,861
1,18,3500059000-3500007500,862
1,19,3500059000-3500007500,477
1,17,3500007500-3500059000,878
1,18,3500007500-3500059000,1036
1,19,3500007500-3500059000,704
1,17,3510000500-3510000400,2010
1,18,3510000500-3510000400,1908
1,19,3510000500-3510000400,1265
1,17,3510000400-3510000500,2247
1,18,3510000400-3510000500,2137
1,19,3510000400-3510000500,1528
1,17,3510000450-3510000400,2252
1,18,3510000450-3510000400,2116
1,19,3510000450-3510000400,1691
1,17,3510000400-3510000450,2011
1,18,3510000400-3510000450,1886
1,19,3510000400-3510000450,1289
3,17,3500007900-3500007500,1240
3,18,3500007900-3500007500,1151
3,19,3500007900-3500007500,861
3,17,3500007500-3500007900,1026
3,18,3500007500-3500007900,1034
3,19,3500007500-3500007900,585
3,17,3500006700-3500007500,851
3,18,3500006700-3500007500,897
3,19,3500006700-3500007500,532
3,17,3500007500-3500006700,1123
3,18,3500007500-3500006700,1130
3,19,3500007500-3500006700,788
3,17,3500059000-3500007500,762
3,18,3500059000-3500007500,784
3,19,3500059000-3500007500,309
3,17,3500007500-3500059000,1240
3,18,3500007500-3500059000,1247
3,19,3500007500-3500059000,638
3,17,3510000500-3510000400,1847
3,18,3510000500-3510000400,1726
3,19,3510000500-3510000400,873
3,17,3510000400-3510000500,2110
3,18,3510000400-3510000500,1967
3,19,3510000400-3510000500,1418
3,17,3510000450-3510000400,2150
3,18,3510000450-3510000400,2031
3,19,3510000450-3510000400,1592
3,17,3510000400-3510000450,1827
3,18,3510000400-3510000450,1714
3,19,3510000400-3510000450,911
4,17,3500007900-3500007500,1432
4,18,3500007900-3500007500,1442
4,19,3500007900-3500007500,1057
4,17,3500007500-3500007900,1122
4,18,3500007500-3500007900,1096
4,19,3500007500-3500007900,740
4,17,3500006700-3500007500,989
4,18,3500006700-3500007500,956
4,19,3500006700-3500007500,650
4,17,3500007500-3500006700,1241
4,18,3500007500-3500006700,1261
4,19,3500007500-3500006700,891
4,17,3500059000-3500007500,857
4,18,3500059000-3500007500,866
4,19,3500059000-3500007500,497
4,17,3500007500-3500059000,1234
4,18,3500007500-3500059000,1288
4,19,3500007500-3500059000,770
4,17,3510000500-3510000400,2018
4,18,3510000500-3510000400,1887
4,19,3510000500-3510000400,1238
4,17,3510000400-3510000500,2357
4,18,3510000400-3510000500,2220
4,19,3510000400-3510000500,1574
4,17,3510000450-3510000400,2307
4,18,3510000450-3510000400,2199
4,19,3510000450-3510000400,1724
4,17,3510000400-3510000450,2049
4,18,3510000400-3510000450,1872
4,19,3510000400-3510000450,1259
5,17,3500007900-3500007500,1401
5,18,3500007900-3500007500,1398
