date,time,road,speed
5,7,3500007700-3500056400,29
5,8,3500007700-3500056400,33
5,9,3500007700-3500056400,36
5,10,3500007700-3500056400,36
5,11,3500007700-3500056400,35
5,12,3500007700-3500056400,36
5,13,3500007700-3500056400,35
5,14,3500007700-3500056400,0
5,15,3500007700-3500056400,34
5,16,3500007700-3500056400,34
5,17,3500007700-3500056400,31
5,18,3500007700-3500056400,31
5,19,3500007700-3500056400,36
5,20,3500007700-3500056400,38
5,21,3500007700-3500056400,39
5,22,3500007700-3500056400,43
5,23,3500007700-3500056400,47
5,0,3500007700-3500081900,51
5,1,3500007700-3500081900,50
5,2,3500007700-3500081900,45
5,3,3500007700-3500081900,46
5,4,3500007700-3500081900,42
5,5,3500007700-3500081900,43
5,6,3500007700-3500081900,38
5,7,3500007700-3500081900,29
5,8,3500007700-3500081900,33
5,9,3500007700-3500081900,36
5,10,3500007700-3500081900,36
5,11,3500007700-3500081900,35
5,12,3500007700-3500081900,36
5,13,3500007700-3500081900,35
5,14,3500007700-3500081900,0
5,15,3500007700-3500081900,34
5,16,3500007700-3500081900,34
5,17,3500007700-3500081900,31
5,18,3500007700-3500081900,31
5,19,3500007700-3500081900,36
5,20,3500007700-3500081900,38
5,21,3500007700-3500081900,39
5,22,3500007700-3500081900,43
5,23,3500007700-3500081900,47
6,0,3500007700-3500056400,46
6,1,3500007700-3500056400,46
6,2,3500007700-3500056400,46
6,3,3500007700-3500056400,47
6,4,3500007700-3500056400,44
6,5,3500007700-3500056400,42
6,6,3500007700-3500056400,41
6,7,3500007700-3500056400,39
6,8,3500007700-3500056400,39
6,9,3500007700-3500056400,38
6,10,3500007700-3500056400,38
6,11,3500007700-3500056400,36
6,12,3500007700-3500056400,31
6,13,3500007700-3500056400,32
6,14,3500007700-3500056400,0
6,15,3500007700-3500056400,31
6,16,3500007700-3500056400,37
6,17,3500007700-3500056400,34
6,18,3500007700-3500056400,38
6,19,3500007700-3500056400,40
6,20,3500007700-3500056400,40
6,21,3500007700-3500056400,43
6,22,3500007700-3500056400,44
6,23,3500007700-3500056400,47
6,0,3500007700-3500081900,46
6,1,3500007700-3500081900,46
6,2,3500007700-3500081900,46
6,3,3500007700-3500081900,47
6,4,3500007700-3500081900,44
6,5,3500007700-3500081900,42
6,6,3500007700-3500081900,41
6,7,3500007700-3500081900,39
6,8,3500007700-3500081900,39
6,9,3500007700-3500081900,38
6,10,3500007700-3500081900,38
6,11,3500007700-3500081900,36
6,12,3500007700-3500081900,31
6,13,3500007700-3500081900,32
6,14,3500007700-3500081900,0
6,15,3500007700-3500081900,31
6,16,3500007700-3500081900,37
6,17,3500007700-3500081900,34
6,18,3500007700-3500081900,38
6,19,3500007700-3500081900,40
6,20,3500007700-3500081900,40
6,21,3500007700-3500081900,43
6,22,3500007700-3500081900,44
6,23,3500007700-3500081900,47
7,0,3500007700-3500056400,44
7,1,3500007700-3500056400,51
7,2,3500007700-3500056400,51
7,3,3500007700-3500056400,53
7,4,3500007700-3500056400,52
7,5,3500007700-3500056400,50
7,6,3500007700-3500056400,49
7,7,3500007700-3500056400,45
7,8,3500007700-3500056400,41
7,9,3500007700-3500056400,39
7,10,3500007700-3500056400,38
7,11,3500007700-3500056400,38
7,12,3500007700-3500056400,37
7,13,3500007700-3500056400,37
7,14,3500007700-3500056400,0
7,15,3500007700-3500056400,38
7,16,3500007700-3500056400,38
7,17,3500007700-3500056400,37
7,18,3500007700-3500056400,37
7,19,3500007700-3500056400,38
7,20,3500007700-3500056400,40
7,21,3500007700-3500056400,41
7,22,3500007700-3500056400,41
7,23,3500007700-3500056400,45
7,0,3500007700-3500081900,44
