road,segment,id,ratio
새천년대로,MBC > 대잠사거리,3500007900-3500007500,1
새천년대로,대잠사거리 > MBC,3500007500-3500007900,1
새천년대로,효자사거리 > 대잠사거리,3500006700-3500007500,1
새천년대로,대잠사거리 > 효자사거리,3500007500-3500006700,1
새천년대로,포항시청 > 대잠사거리,3500059000-3500007500,1
새천년대로,대잠사거리 > 포항시청,3500007500-3500059000,1
새천년대로,용흥고가 > 양학사거리,3510000500-3510000400,1
새천년대로,양학사거리 > 용흥고가,3510000400-3510000500,1
새천년대로,이동고가차도 아래 > 양학사거리,3510000450-3510000400,1
새천년대로,양학사거리 > 이동고가차도 아래,3510000400-3510000450,1
